scheme_id,name_en,name_hi,short_name,level,state,ministry,category,sub_category,scheme_type,min_age,max_age,gender,interest_rate,lock_in,benefit_summary,verification_status,official_url,recommendation_enabled,active,legacy
apy_001,Atal Pension Yojana,अटल पेंशн योजнा,APY,central,,Ministry of Finance,PENSION,Unorganised sector pension,PENSION,18,40,all,,till age 60,"Guaranteed monthly pension of Rs 1,000 to Rs 5,000 from age 60, chosen at enrolment; government guarantees the corpus shortfall.",VERIFIED,https://pfrda.org.in/w/faqs/atal-pension-yojana,True,True,False
ppf_001,Public Provident Fund,लोक भविष्य निधि,PPF,central,,Ministry of Finance,SAVINGS,Long-term savings,SAVINGS,,,all,7.1% p.a. (Jul-Sep 2026 quarter),15 years,Long-term tax-free savings instrument with sovereign guarantee; interest and maturity fully exempt from tax.,VERIFIED,https://www.nsiindia.gov.in/InternalPage.aspx?Id_Pk=39,True,True,False
ssy_001,Sukanya Samriddhi Yojana,सुकन्या समृद्धि योजना,SSY,central,,Ministry of Finance,WOMEN,Girl child savings,SAVINGS,,,female,8.2% p.a. (Jul-Sep 2026 quarter),21 years from account opening or marriage after 18,High-interest tax-free savings account for a girl child's education and marriage expenses.,VERIFIED,https://www.nsiindia.gov.in/InternalPage.aspx?Id_Pk=89,True,True,False
nsc_001,National Savings Certificate,राष्ट्रीय बचत पत्र,NSC,central,,Ministry of Finance,SAVINGS,Fixed-term savings certificate,SAVINGS,,,all,"7.7% p.a., compounded annually (Jul-Sep 2026 quarter)",5 years,"Fixed 5-year, government-guaranteed savings certificate available at post offices.",VERIFIED,https://www.indiapost.gov.in/Financial/pages/content/post-office-saving-schemes.aspx,True,True,False
kvp_001,Kisan Vikas Patra,किसान विकास पत्र,KVP,central,,Ministry of Finance,SAVINGS,Fixed-term savings certificate,SAVINGS,,,all,7.5% p.a. (Jul-Sep 2026 quarter),2 years 6 months (premature encashment),Certificate that doubles the invested amount over the notified maturity period (currently 115 months).,VERIFIED,https://www.indiapost.gov.in/Financial/pages/content/post-office-saving-schemes.aspx,True,True,False
scss_001,Senior Citizens' Savings Scheme,वरिष्ठ नागरिक बचत योजना,SCSS,central,,Ministry of Finance,SENIOR_CITIZEN,Senior citizen savings,SAVINGS,60,,all,"8.2% p.a., paid quarterly (Jul-Sep 2026 quarter)",5 years (extendable by 3 years),"Highest-rate government-backed fixed-income scheme for senior citizens, with quarterly interest payout.",VERIFIED,https://www.indiapost.gov.in/Financial/pages/content/post-office-saving-schemes.aspx,True,True,False
pomis_001,Post Office Monthly Income Scheme,डाकघर मासिक आय योजना,POMIS,central,,Ministry of Communications,SAVINGS,Monthly income scheme,SAVINGS,,,all,"7.4% p.a., paid monthly (Jul-Sep 2026 quarter)",5 years,"Fixed monthly interest payout scheme for a 5-year deposit, operated through post offices.",VERIFIED,https://www.indiapost.gov.in/Financial/pages/content/post-office-saving-schemes.aspx,True,True,False
nps_001,National Pension System,राष्ट्रीय पेंशн प्रणाली,NPS,central,,Ministry of Finance,PENSION,Market-linked pension,PENSION,18,70,all,,,"Voluntary, market-linked defined-contribution pension scheme regulated by PFRDA.",VERIFIED,https://npscra.nsdl.co.in/,True,True,False
eps_001,Employees' Pension Scheme,कर्मचारी पेंशн योजना,EPS-95,central,,Ministry of Labour and Employment,PENSION,Organised sector pension,PENSION,,,all,,,"Statutory pension scheme for employees covered under EPF, funded by employer contribution.",VERIFIED,https://www.epfindia.gov.in/,True,True,False
epf_001,Employees' Provident Fund,कर्मचारी भविष्य निधि,EPF,central,,Ministry of Labour and Employment,SOCIAL_SECURITY,Provident fund,SOCIAL_ASSISTANCE,,,all,,,Statutory retirement savings fund for employees of covered establishments.,VERIFIED,https://www.epfindia.gov.in/,True,True,False
pmvvy_001,Pradhan Mantri Vaya Vandana Yojana,प्रधानमंत्री वय वंदना योजना,PMVVY,central,,Ministry of Finance,SENIOR_CITIZEN,Senior citizen pension,PENSION,60,,all,,,LIC-administered pension plan for senior citizens; new subscriptions have been closed periodically - status needs current confirmation.,VERIFIED,https://licindia.in/,True,True,True
